,connLabel,predLabel,confi,sample,pre_conn_conv1_fm0_mean,pre_conn_conv1_fm1_mean,pre_conn_conv1_fm2_mean,pre_conn_conv1_fm3_mean,pre_conn_conv2_fm0_mean,pre_conn_conv2_fm1_mean,post_conn_conv1_fm0_mean,post_conn_conv1_fm1_mean,post_conn_conv1_fm2_mean,post_conn_conv1_fm3_mean,post_conn_conv2_fm0_mean,post_conn_conv2_fm1_mean,postBN_conn_conv1_fm0_mean,postBN_conn_conv1_fm1_mean,postBN_conn_conv1_fm2_mean,postBN_conn_conv1_fm3_mean,postBN_conn_conv2_fm0_mean,postBN_conn_conv2_fm1_mean,peak_height,peak_lag,peak_halfMax_width,peak_to_noise,temporal_span,entropy,norm_entropy,norm_entropy_window,kl_divergence_window,Weight,test
20,1.0,0.0,0.050536978989839554,BP8_Pre_E10_Post,-554.123779296875,2.141772985458374,385.84478759765625,-136.72607421875,1.2196167707443237,1.6912990808486938,-1.0,0.5899369716644287,1.0,-0.6568569540977478,0.9826018810272217,0.9925453066825867,-14.22572135925293,2.1869988441467285,20.730133056640625,-1.8161019086837769,2.4685168266296387,2.883349657058716,566.0,1,8,19.579828,10,6.6379967,0.996963928042812,0.9887447349178855,0.04943656884979169,1.2421052631578948,BP
21,1.0,0.0,0.04932945966720581,BP8_Pre_E11_Post,-557.619140625,-0.3447401225566864,389.90240478515625,-139.3927001953125,1.4803787469863892,2.0420830249786377,-1.0,0.5997416973114014,1.0,-0.7025048136711121,0.9942305684089661,0.9978396892547607,-14.328731536865234,2.066250801086426,20.94419288635254,-1.9184025526046753,2.9725074768066406,3.491974115371704,576.0,1,9,19.962944,10,6.640179,0.997291716320302,0.9904143042932624,0.04210338716350779,1.0526315789473686,BP
22,1.0,0.0,0.05318339169025421,BP8_Pre_E12_Post,-574.5718383789062,-2.8302226066589355,401.92083740234375,-145.13458251953125,0.9979460835456848,1.4328922033309937,-1.0,0.5410252809524536,1.0,-0.6020889282226562,0.957751452922821,0.9816109538078308,-14.82835578918457,1.9455533027648926,21.57822608947754,-2.138680934906006,2.0400803089141846,2.435002565383911,679.0,1,7,28.815317,13,6.6276073,0.9954035498496825,0.9823934450591788,0.07733401975660954,1.5578947368421052,BP
23,1.0,0.0,0.06769610941410065,BP8_Pre_E13_Post,-570.3294067382812,-6.827746868133545,399.8829040527344,-146.46771240234375,0.6534678936004639,0.9725736975669861,-1.0,0.5298744440078735,1.0,-0.5304611921310425,0.8530891537666321,0.9153988361358643,-14.703325271606445,1.7514290809631348,21.47071647644043,-2.189824104309082,1.3742866516113281,1.6363306045532227,764.0,1,8,28.440866,12,6.6137586,0.993323594651268,0.9773262222121085,0.09959155222790005,1.7473684210526317,BP
24,1.0,0.0,0.04931437224149704,BP8_Pre_E14_Post,-539.2933959960938,2.142733097076416,374.7672424316406,-132.503662109375,1.497947335243225,2.018066644668579,-1.0,0.6678597927093506,1.0,-0.6801914572715759,0.994713306427002,0.997565746307373,-13.78864860534668,2.187045097351074,20.14573097229004,-1.6541162729263306,3.006463050842285,3.450305223464966,516.0,1,12,15.950178,9,6.6438093,0.9978369319979362,0.991825279855508,0.03590572092954559,0.9263157894736842,BP
25,1.0,0.0,0.08522357046604156,BP8_Pre_E15_Post,-578.1279296875,-6.846937656402588,406.6295471191406,-149.3491973876953,0.5259435772895813,0.782719612121582,-1.0,0.48098814487457275,1.0,-0.49687623977661133,0.7547156810760498,0.8478404879570007,-14.933159828186035,1.7504971027374268,21.826637268066406,-2.3003671169281006,1.1278126239776611,1.306925892829895,847.0,1,6,37.282265,14,6.607345,0.9923603540280996,0.9725270380403622,0.12066996089595945,1.873684210526316,BP
26,1.0,0.0,0.051440924406051636,BP8_Pre_E16_Post,-557.648193359375,1.0628682374954224,391.26763916015625,-139.28753662109375,1.1740517616271973,1.656049132347107,-1.0,0.5948038697242737,1.0,-0.6342604756355286,0.9736995697021484,0.9890336394309998,-14.32958984375,2.134605884552002,21.016212463378906,-1.9143685102462769,2.380450487136841,2.8221893310546875,591.0,1,10,19.153536,10,6.6358128,0.9966359249161123,0.9870681090362728,0.05680135503540054,1.368421052631579,BP
27,1.0,0.0,0.05096648633480072,BP8_Pre_E17_Post,-584.9293212890625,-3.505373954772949,407.6299743652344,-147.62477111816406,1.1602493524551392,1.6090022325515747,-1.0,0.5439388155937195,1.0,-0.6406671404838562,0.9790075421333313,0.9902051091194153,-15.133604049682617,1.912766933441162,21.879413604736328,-2.2342123985290527,2.353773832321167,2.7405612468719482,730.0,1,7,34.077026,13,6.629129,0.9956320777923242,0.9837817312398355,0.07123625125773836,1.4947368421052634,BP
28,1.0,0.0,0.05843393877148628,BP8_Pre_E18_Post,-558.8692016601562,-3.2983572483062744,390.71514892578125,-141.1993865966797,0.8262112736701965,1.1702070236206055,-1.0,0.5180797576904297,1.0,-0.5761339664459229,0.9167993664741516,0.9562013745307922,-14.36557674407959,1.9228202104568481,20.98706817626953,-1.9877128601074219,1.7081581354141235,1.9792327880859375,652.0,1,9,26.35122,14,6.6291533,0.9956357302288878,0.9850333383227876,0.0657381056455582,1.431578947368421,BP
29,1.0,0.0,0.05657559260725975,BP8_Pre_E19_Post,-583.6956176757812,-5.305057048797607,409.0398864746094,-149.7763214111328,0.8763105273246765,1.2412915229797363,-1.0,0.5221436619758606,1.0,-0.5691713690757751,0.9311324954032898,0.9646863341331482,-15.097248077392578,1.8253724575042725,21.95379638671875,-2.316753625869751,1.8049880266189575,2.102567672729492,799.0,1,5,35.481556,10,6.6167855,0.993778215578842,0.9773846283714136,0.09933340626895497,1.6842105263157896,BP
