,connLabel,predLabel,confi,sample,pre_conn_conv1_fm0_mean,pre_conn_conv1_fm1_mean,pre_conn_conv1_fm2_mean,pre_conn_conv1_fm3_mean,pre_conn_conv2_fm0_mean,pre_conn_conv2_fm1_mean,post_conn_conv1_fm0_mean,post_conn_conv1_fm1_mean,post_conn_conv1_fm2_mean,post_conn_conv1_fm3_mean,post_conn_conv2_fm0_mean,post_conn_conv2_fm1_mean,postBN_conn_conv1_fm0_mean,postBN_conn_conv1_fm1_mean,postBN_conn_conv1_fm2_mean,postBN_conn_conv1_fm3_mean,postBN_conn_conv2_fm0_mean,postBN_conn_conv2_fm1_mean,dip_depth,dip_lag,dip_halfMax_width,dip_to_noise,temporal_span,entropy,norm_entropy,norm_entropy_window,kl_divergence_window,Weight,test
10,1.0,0.0,0.048772890120744705,BP8_Pre_I2_Post,-618.9030151367188,21.823631286621094,430.1885681152344,-141.818603515625,3.623202085494995,4.430449962615967,-1.0,0.9745131731033325,1.0,-0.9336792826652527,0.9999986290931702,0.999999463558197,-16.13486099243164,3.142771005630493,23.069499969482422,-2.0114686489105225,7.114070892333984,7.635891437530518,223.0,2,6,6.8615584,9,6.6547065,0.9994735816604837,0.9977551334494892,0.009860733448183152,-0.6484210526315789,BP
11,1.0,0.0,0.04877353087067604,BP8_Pre_I3_Post,-618.2794799804688,24.246755599975586,430.2435302734375,-140.65003967285156,3.167435884475708,3.9037094116210938,-1.0,0.9083597660064697,1.0,-0.8663802742958069,0.9999918937683105,0.9999969601631165,-16.11648178100586,3.2604403495788574,23.07240104675293,-1.9666388034820557,6.233184814453125,6.721974849700928,204.0,3,10,5.239999,10,6.6513824,0.9989743437137101,0.996301493164926,0.01624474893062028,-1.1347368421052633,BP
12,1.0,0.0,0.0487736314535141,BP8_Pre_I4_Post,-626.2239990234375,22.914779663085938,431.6043701171875,-140.00405883789062,3.136573553085327,3.854490041732788,-1.0,0.9588848948478699,1.0,-0.8626039028167725,0.9999911189079285,0.9999964237213135,-16.35062026977539,3.19575834274292,23.14419174194336,-1.9418563842773438,6.1735358238220215,6.636577129364014,198.0,1,6,8.557561,12,6.651916,0.9990544824689015,0.9960686284591465,0.017268150505181858,-1.2673684210526317,BP
13,1.0,0.0,0.04877305403351784,BP8_Pre_I5_Post,-625.8909301757812,21.759496688842773,432.5078430175781,-142.3177032470703,3.4132988452911377,4.181292533874512,-1.0,0.9635499119758606,1.0,-0.9019885659217834,0.9999969005584717,0.9999988675117493,-16.340805053710938,3.1396565437316895,23.19185447692871,-2.03061580657959,6.708379745483398,7.203593730926514,194.0,1,6,7.8698616,8,6.653445,0.9992840846575913,0.9967246664158018,0.014386229162987015,-0.8694736842105263,BP
14,1.0,0.0,0.04877282306551933,BP8_Pre_I6_Post,-641.0521850585938,20.093181610107422,443.4991149902344,-147.77264404296875,3.7959511280059814,4.641890048980713,-1.0,0.9569395780563354,1.0,-0.9563912153244019,0.9999992847442627,0.9999997615814209,-16.787630081176758,3.0587384700775146,23.77170181274414,-2.2398858070373535,7.4479546546936035,8.002748489379883,245.0,3,4,3.459632,4,6.655248,0.9995549378945298,0.9988215343841615,0.005175995234824929,-0.5599999999999999,BP
15,1.0,0.0,0.048772867769002914,BP8_Pre_I7_Post,-625.724609375,25.166746139526367,435.81488037109375,-142.6991424560547,3.647319793701172,4.4539713859558105,-1.0,0.9583255052566528,1.0,-0.9348299503326416,0.9999988079071045,0.9999995231628418,-16.335901260375977,3.3051161766052246,23.36631965637207,-2.0452492237091064,7.160685062408447,7.676702499389648,214.0,1,4,6.834931,12,6.653287,0.999260379628129,0.9969693643397305,0.013311361780154738,-1.0463157894736843,BP
16,1.0,0.0,0.04877282306551933,BP8_Pre_I8_Post,-637.4752197265625,20.741641998291016,443.8541564941406,-147.72561645507812,3.7909250259399414,4.645330905914307,-1.0,0.9448180794715881,1.0,-0.9556417465209961,0.9999992847442627,0.9999997615814209,-16.68221092224121,3.0902280807495117,23.79043197631836,-2.2380807399749756,7.438240051269531,8.008719444274902,225.0,1,5,5.106823,7,6.654948,0.999509891176911,0.9980134015777173,0.008725895177549231,-0.6926315789473685,BP
17,1.0,0.0,0.0487736314535141,BP8_Pre_I9_Post,-624.689453125,23.723405838012695,431.1484375,-140.68540954589844,3.1344830989837646,3.8550615310668945,-1.0,0.9338881969451904,1.0,-0.8631613850593567,0.9999911189079285,0.9999964237213135,-16.30539321899414,3.2350261211395264,23.12013816833496,-1.9679951667785645,6.169495105743408,6.637568950653076,188.0,2,10,8.973412,10,6.651434,0.9989820782852568,0.9954648086486356,0.01991951835497943,-1.311578947368421,BP
18,1.0,0.0,0.04877283796668053,BP8_Pre_I10_Post,-637.4580078125,19.884428024291992,441.54351806640625,-146.60577392578125,3.721653699874878,4.547760486602783,-1.0,0.9466809034347534,1.0,-0.9441836476325989,0.9999991059303284,0.9999997615814209,-16.681703567504883,3.048600912094116,23.668535232543945,-2.1951205730438232,7.304355144500732,7.83942985534668,221.0,2,4,5.5702167,7,6.654886,0.9995005094280905,0.9980961255431272,0.008362175384227438,-0.736842105263158,BP
19,1.0,0.0,0.04877295345067978,BP8_Pre_I11_Post,-630.3998413085938,22.283292770385742,438.510986328125,-145.33648681640625,3.507120370864868,4.306817531585693,-1.0,0.9371294379234314,1.0,-0.9143106937408447,0.9999978542327881,0.9999992847442627,-16.47368812561035,3.1650924682617188,23.50855255126953,-2.14642596244812,6.889713764190674,7.421383380889893,204.0,1,6,5.935528,9,6.6530685,0.999227579315459,0.9969219229054994,0.013519900149627112,-1.0905263157894736,BP
20,1.0,0.0,0.04877295345067978,BP8_Pre_I12_Post,-632.0647583007812,21.835636138916016,438.2279052734375,-145.29437255859375,3.504802942276001,4.301015853881836,-1.0,0.9473254084587097,1.0,-0.9146020412445068,0.9999978542327881,0.9999992251396179,-16.522756576538086,3.1433537006378174,23.49361801147461,-2.1448113918304443,6.885234355926514,7.411317348480225,218.0,1,5,5.6560893,12,6.653237,0.9992528599057919,0.9971401317906355,0.012561289007934715,-0.9136842105263158,BP
